,droplet_count,time_in_s,added_size
0,250,-0.018333333333333333,163117
1,251,0.15000000000000002,171439
2,249,0.3166666666666667,174217
3,247,0.48333333333333334,175418
4,269,0.65,174421
5,263,0.8166666666666668,173166
6,237,0.9833333333333334,176299
7,276,1.1500000000000001,183359
8,269,1.3166666666666667,183050
9,266,1.4833333333333334,181922
10,274,1.6500000000000001,185821
11,308,1.8166666666666669,185087
12,287,1.9833333333333334,187441
13,293,2.1500000000000004,188519
14,281,2.316666666666667,190806
15,269,2.4833333333333334,191393
16,281,2.6500000000000004,193269
17,282,2.816666666666667,194507
18,297,2.9833333333333334,197021
19,276,3.1500000000000004,196722
20,303,3.316666666666667,195471
21,290,3.4833333333333334,194357
22,306,3.6500000000000004,188951
23,319,3.816666666666667,154258
24,294,3.9833333333333334,95390
25,287,4.15,89814
26,356,4.316666666666667,61150
27,335,4.483333333333333,60717
28,312,4.65,61162
29,344,4.816666666666667,60995
30,317,4.983333333333333,62419
31,326,5.15,61351
32,327,5.316666666666667,62316
33,136,5.483333333333333,62143
34,367,5.65,61682
35,342,5.816666666666667,61601
36,351,5.983333333333333,60767
37,348,6.15,59932
38,339,6.316666666666667,60273
39,323,6.483333333333333,59832
40,343,6.65,60613
41,303,6.816666666666667,59773
42,350,6.983333333333333,61122
43,349,7.15,60239
44,129,7.316666666666667,60393
45,326,7.483333333333333,60236
46,364,7.65,59823
47,326,7.816666666666667,59656
48,140,7.983333333333334,60824
49,331,8.15,59934
50,346,8.316666666666666,60793
51,345,8.483333333333334,60015
52,342,8.65,60602
53,335,8.816666666666666,60609
54,336,8.983333333333334,60866
55,342,9.15,60842
56,129,9.316666666666666,60894
57,340,9.483333333333334,60050
58,341,9.65,60878
59,130,9.816666666666666,60958
60,351,9.983333333333334,61183
61,140,10.15,61001
62,334,10.316666666666668,61941
63,122,10.481666666666667,61850
64,347,10.648333333333333,62100
65,331,10.815000000000001,62015
66,340,10.981666666666667,63226
67,327,11.148333333333333,62469
68,326,11.315000000000001,62656
69,334,11.481666666666667,61551
70,342,11.648333333333333,62472
71,132,11.815000000000001,62722
72,129,11.981666666666667,63301
73,354,12.148333333333333,63337
74,339,12.315000000000001,62994
75,331,12.481666666666667,63193
76,128,12.648333333333333,63942
77,350,12.815000000000001,63522
78,113,12.981666666666667,63513
79,333,13.148333333333333,63383
80,332,13.315000000000001,63634
81,328,13.481666666666667,64028
82,342,13.648333333333333,64424
83,365,13.815000000000001,64021
84,344,13.981666666666667,63416
85,346,14.148333333333333,63387
86,360,14.315000000000001,63965
